"tax1","tax2","value"
"GCa3-9-littleb-p","Lad4-1-bigB-m-majorityallele",0.000453507606596689
"GCa3-11-bigB-p","Lad4-1-bigB-m-majorityallele",0.000453507606596689
"SRR9008168-xAdR-135-Pos-littleb","Lad4-1-bigB-m-majorityallele",0.000453507606596689
"SRR9008232-xAdR-134-Bra-bigB","Lad4-1-bigB-m-majorityallele",0.000453507606596689
"SRR9008136-ric-74-Ros-littleb","Lad4-1-bigB-m-majorityallele",0.000453507606596689
"SRR9008197-ric-96-Ros-bigB","Lad4-1-bigB-m-majorityallele",0.000453507606596689
"SRR9008163-inv-225-Mis-littleb","Lad4-1-bigB-m-majorityallele",0.000453507606596689
"SRR9008275-inv-223-Cor-bigB","Lad4-1-bigB-m-majorityallele",0.000453507606596689
"GCa8-9-littleb-p","Lad4-1-bigB-m-majorityallele",0.000453507606596689
"Lad4-1-bigB-m-majorityallele","Lad4-1-bigB-m-majorityallele",0
"Lad4-1-bigB-m-majorityallele","Lad4-1-bigB-m-majorityallele",0
"SRR9008158-sae-47-Bel-bigB","SRR9008158-sae-47-Bel-bigB",0
"SRR9008158-sae-47-Bel-bigB","SRR9008158-sae-47-Bel-bigB",0
"SRR9008217-int-122-Car-bigB","SRR9008217-int-122-Car-bigB",0
"SRR9008217-int-122-Car-bigB","SRR9008217-int-122-Car-bigB",0
"SRR9008217-int-122-Car-bigB","SRR9008166-int-125-Car-littleb",0
"SRR9008166-int-125-Car-littleb","SRR9008217-int-122-Car-bigB",0
"SRR9008166-int-125-Car-littleb","SRR9008166-int-125-Car-littleb",0
"SRR9008166-int-125-Car-littleb","SRR9008166-int-125-Car-littleb",0
"SRR9008166-int-125-Car-littleb","SRR9008118-int-124-Car-littleb",0
"SRR9008118-int-124-Car-littleb","SRR9008166-int-125-Car-littleb",0
"SRR9008118-int-124-Car-littleb","SRR9008118-int-124-Car-littleb",0
"SRR9008118-int-124-Car-littleb","SRR9008118-int-124-Car-littleb",0
"SRR9008214-meg-130-BZ-bigB","SRR9008214-meg-130-BZ-bigB",0
"SRR9008214-meg-130-BZ-bigB","SRR9008214-meg-130-BZ-bigB",0
"SRR9008214-meg-130-BZ-bigB","SRR9008167-meg-127-BZ-littleb",0
"SRR9008167-meg-127-BZ-littleb","SRR9008214-meg-130-BZ-bigB",0
"SRR9008167-meg-127-BZ-littleb","SRR9008167-meg-127-BZ-littleb",0
"SRR9008167-meg-127-BZ-littleb","SRR9008167-meg-127-BZ-littleb",0
"GCa3-9-littleb-p","GCa3-9-littleb-p",0
"GCa3-9-littleb-p","GCa3-9-littleb-p",0
"GCa3-9-littleb-p","GCa3-11-bigB-p",0
"GCa3-11-bigB-p","GCa3-9-littleb-p",0
"GCa3-11-bigB-p","GCa3-11-bigB-p",0
"GCa3-11-bigB-p","GCa3-11-bigB-p",0
"SRR9008168-xAdR-135-Pos-littleb","SRR9008168-xAdR-135-Pos-littleb",0
"SRR9008168-xAdR-135-Pos-littleb","SRR9008168-xAdR-135-Pos-littleb",0
"SRR9008168-xAdR-135-Pos-littleb","SRR9008232-xAdR-134-Bra-bigB",0
"SRR9008232-xAdR-134-Bra-bigB","SRR9008168-xAdR-135-Pos-littleb",0
"SRR9008232-xAdR-134-Bra-bigB","SRR9008232-xAdR-134-Bra-bigB",0
"SRR9008232-xAdR-134-Bra-bigB","SRR9008232-xAdR-134-Bra-bigB",0
"SRR9008136-ric-74-Ros-littleb","SRR9008136-ric-74-Ros-littleb",0
"SRR9008136-ric-74-Ros-littleb","SRR9008136-ric-74-Ros-littleb",0
"SRR9008136-ric-74-Ros-littleb","SRR9008197-ric-96-Ros-bigB",0
"SRR9008197-ric-96-Ros-bigB","SRR9008136-ric-74-Ros-littleb",0
