triplet,outgroup,C1,C2,mixprop1,mixprop2,lambda2Dist,lambda1Dist,BIC2Dist,BIC1Dist,count
Lad4-1-bigB-m-majorityallele_SRR9008158_sae-47-Bel-bigB_SRR9008217_int-122-Car-bigB,SRR9008217_int-122-Car-bigB,0.0,4.367999999999995,0.8497044198223819,0.1502955801776182,0.0005000000000000007,0.0005948333333333334,-73.8322387853816,-75.33499217519797,6
Lad4-1-bigB-m-majorityallele_SRR9008158_sae-47-Bel-bigB_SRR9008197_ric-96-Ros-bigB,Lad4-1-bigB-m-majorityallele,0.0,2.327999999999971,0.7754575591847505,0.22454244081524954,0.0005000000000000063,0.0006682736842105262,-1188.0222069519234,-1194.5005477805933,95
Lad4-1-bigB-m-majorityallele_SRR9008158_sae-47-Bel-bigB_SRR9008197_ric-96-Ros-bigB,SRR9008158_sae-47-Bel-bigB,0.0,1.7842696629213484,0.6730210156437872,0.32697898435621275,0.000445,0.000445,-25.23734967666234,-26.176597922632194,2
Lad4-1-bigB-m-majorityallele_SRR9008158_sae-47-Bel-bigB_SRR9008197_ric-96-Ros-bigB,SRR9008197_ric-96-Ros-bigB,0.0,4.367999999999995,0.8497044198223819,0.1502955801776182,0.0005000000000000007,0.0005948333333333334,-73.8322387853816,-75.33499217519797,6
Lad4-1-bigB-m-majorityallele_SRR9008158_sae-47-Bel-bigB_SRR9008232_xAdR-134-Bra-bigB,Lad4-1-bigB-m-majorityallele,0.0,2.3759999999999986,0.7522167671761048,0.2477832328238955,0.0005000000000000003,0.0006689894736842105,-1191.307122679727,-1194.2971472573893,95
Lad4-1-bigB-m-majorityallele_SRR9008158_sae-47-Bel-bigB_SRR9008232_xAdR-134-Bra-bigB,SRR9008158_sae-47-Bel-bigB,0.0,1.7842696629213484,0.6730210156437872,0.32697898435621275,0.000445,0.000445,-25.23734967666234,-26.176597922632194,2
Lad4-1-bigB-m-majorityallele_SRR9008158_sae-47-Bel-bigB_SRR9008232_xAdR-134-Bra-bigB,SRR9008232_xAdR-134-Bra-bigB,0.0,4.367999999999995,0.8497044198223819,0.1502955801776182,0.0005000000000000007,0.0005948333333333334,-73.8322387853816,-75.33499217519797,6
Lad4-1-bigB-m-majorityallele_SRR9008158_sae-47-Bel-bigB_SRR9008275_inv-223-Cor-bigB,Lad4-1-bigB-m-majorityallele,0.0,2.3379999999999903,0.7540681358403098,0.24593186415969012,0.0005000000000000021,0.0006599894736842106,-1193.835347406954,-1196.8705907949177,95
Lad4-1-bigB-m-majorityallele_SRR9008158_sae-47-Bel-bigB_SRR9008275_inv-223-Cor-bigB,SRR9008158_sae-47-Bel-bigB,0.0,1.7842696629213484,0.6730210156437872,0.32697898435621275,0.000445,0.000445,-25.23734967666234,-26.176597922632194,2
Lad4-1-bigB-m-majorityallele_SRR9008158_sae-47-Bel-bigB_SRR9008275_inv-223-Cor-bigB,SRR9008275_inv-223-Cor-bigB,0.0,4.367999999999995,0.8497044198223819,0.1502955801776182,0.0005000000000000007,0.0005948333333333334,-73.8322387853816,-75.33499217519797,6
